ANO,MES,EMPRESA,ORIGEM,DESTINO
2020,4,AZU,SBAE,SBAT
2020,4,AZU,SBAE,SBAT
2020,4,AZU,SBAE,SBBE
2020,4,AZU,SBAE,SBBE
2020,4,AZU,SBAE,SBBR
2020,4,AZU,SBAE,SBBR
2020,4,AZU,SBAE,SBBR
2020,4,AZU,SBAE,SBCF
2020,4,AZU,SBAE,SBCF
2020,4,AZU,SBAE,SBCT
2020,4,AZU,SBAE,SBCT
2020,4,AZU,SBAE,SBCT
2020,4,AZU,SBAE,SBCY
2020,4,AZU,SBAE,SBDO
2020,4,AZU,SBAE,SBEG
2020,4,AZU,SBAE,SBEG
2020,4,AZU,SBAE,SBEG
2020,4,AZU,SBAE,SBFL
2020,4,AZU,SBAE,SBFL
2020,4,AZU,SBAE,SBFL
2020,4,AZU,SBAE,SBFL
2020,4,AZU,SBAE,SBGL
2020,4,AZU,SBAE,SBGO
2020,4,AZU,SBAE,SBJU
2020,4,AZU,SBAE,SBKP
2020,4,AZU,SBAE,SBMQ
2020,4,AZU,SBAE,SBPA
2020,4,AZU,SBAE,SBPV
2020,4,AZU,SBAE,SBRJ
2020,4,AZU,SBAE,SBRJ
2020,4,AZU,SBAE,SBRJ
2020,4,AZU,SBAE,SBSV
2020,4,AZU,SBAE,SBTE
2020,4,AZU,SBAE,SBVT
2020,4,AZU,SBAQ,SBAR
2020,4,AZU,SBAQ,SBCG
2020,4,AZU,SBAQ,SBFZ
2020,4,AZU,SBAQ,SBMO
2020,4,AZU,SBAQ,SBSN
2020,4,AZU,SBAR,SBAQ
2020,4,AZU,SBAR,SBAU
2020,4,AZU,SBAR,SBBE
2020,4,AZU,SBAR,SBBE
2020,4,AZU,SBAR,SBBE
2020,4,AZU,SBAR,SBBE
2020,4,AZU,SBAR,SBBR
2020,4,AZU,SBAR,SBBR
2020,4,AZU,SBAR,SBCA
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCF
2020,4,AZU,SBAR,SBCG
2020,4,AZU,SBAR,SBCH
2020,4,AZU,SBAR,SBCJ
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCT
2020,4,AZU,SBAR,SBCX
2020,4,AZU,SBAR,SBCY
2020,4,AZU,SBAR,SBDN
2020,4,AZU,SBAR,SBDN
2020,4,AZU,SBAR,SBEG
2020,4,AZU,SBAR,SBEG
2020,4,AZU,SBAR,SBEG
2020,4,AZU,SBAR,SBFL
2020,4,AZU,SBAR,SBFN
2020,4,AZU,SBAR,SBFN
2020,4,AZU,SBAR,SBFN
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBFZ
2020,4,AZU,SBAR,SBGL
2020,4,AZU,SBAR,SBGL
2020,4,AZU,SBAR,SBGO
2020,4,AZU,SBAR,SBGO
2020,4,AZU,SBAR,SBGR
2020,4,AZU,SBAR,SBGR
2020,4,AZU,SBAR,SBGR
2020,4,AZU,SBAR,SBGR
2020,4,AZU,SBAR,SBGR
2020,4,AZU,SBAR,SBJI
2020,4,AZU,SBAR,SBJP
2020,4,AZU,SBAR,SBJP
2020,4,AZU,SBAR,SBJV
2020,4,AZU,SBAR,SBJV
2020,4,AZU,SBAR,SBJV
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBKP
2020,4,AZU,SBAR,SBLO
2020,4,AZU,SBAR,SBMA
2020,4,AZU,SBAR,SBMG
2020,4,AZU,SBAR,SBMK
2020,4,AZU,SBAR,SBMQ
2020,4,AZU,SBAR,SBNF
2020,4,AZU,SBAR,SBNF
2020,4,AZU,SBAR,SBNF
2020,4,AZU,SBAR,SBNF
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPA
2020,4,AZU,SBAR,SBPJ
2020,4,AZU,SBAR,SBPJ
2020,4,AZU,SBAR,SBPJ
2020,4,AZU,SBAR,SBPK
2020,4,AZU,SBAR,SBPL
2020,4,AZU,SBAR,SBPV
2020,4,AZU,SBAR,SBPV
2020,4,AZU,SBAR,SBRF
2020,4,AZU,SBAR,SBRF
2020,4,AZU,SBAR,SBRF
